incident nummer,Beschrijving incident,hoofd afdelingen
1233413,"wire solutions , blijft op Philips beeld staan",Production QA
1233392,wire solutions - Patiënt kan geen volledig gebruik maken van pakket,Production QA
1206952,wire solutions  na vervangen doet scherm nog niets,Marketing
1237242,wire solutions - geen radio,Production QA
1231765,wire solutions  C0 k2 b1,Production QA
1188985,wire solutions,Commercial department
1189539,wire solutions,Facility management
1190132,wire solutions,Production QA
1192492,wire solutions,Facility management
1193519,wire solutions,Overig
1193752,wire solutions,Commercial department
1193815,wire solutions,Production QA
1194849,wire solutions,Overig
1194864,wire solutions,Production QA
1196059,wire solutions,Facility management
1196488,wire solutions,Overig
1198353,wire solutions,Production QA
1198503,wire solutions,Marketing
1198939,wire solutions,Commercial department
1199164,wire solutions,Commercial department
1199178,wire solutions,Production QA
1199322,wire solutions,Production QA
1199521,wire solutions,Commercial department
1200030,wire solutions,Commercial department
1201482,wire solutions,Commercial department
1201868,wire solutions,Production QA
1202189,wire solutions,Commercial department
1203193,wire solutions,Commercial department
1204754,wire solutions,Commercial department
1205412,wire solutions,Facility management
1205414,wire solutions,Commercial department
1205441,wire solutions,Commercial department
1206163,wire solutions,Production QA
1206379,wire solutions,HR advies
1206613,wire solutions,Commercial department
1207327,wire solutions,Commercial department
1207610,wire solutions,Commercial department
1208032,wire solutions,Production QA
1208307,wire solutions,Commercial department
1208476,wire solutions,Facility management
1209127,wire solutions,Facility management
1210324,wire solutions,Production QA
1212272,wire solutions,Commercial department
1212759,wire solutions,Marketing
1213283,wire solutions,Commercial department
1213678,wire solutions,Commercial department
1214597,wire solutions,Onbekend
1214657,wire solutions,Commercial department
1216134,wire solutions,Commercial department
1218199,wire solutions,Commercial department
1218803,wire solutions,Production QA
1220715,wire solutions,Marketing
1224747,wire solutions,Commercial department
1224981,wire solutions,Commercial department
1226219,wire solutions,Commercial department
1226263,wire solutions,Commercial department
1226408,wire solutions,Commercial department
1227403,wire solutions,Commercial department
1228186,wire solutions,Commercial department
1228671,wire solutions,Production QA
1228815,wire solutions,Production QA
1229978,wire solutions,Commercial department
1231330,wire solutions,Production QA
1231969,wire solutions,Marketing
1233199,wire solutions,Commercial department
1233219,wire solutions,Commercial department
1235024,wire solutions,Marketing
1235695,wire solutions,Production QA
1237288,wire solutions,Commercial department
1237499,wire solutions,Commercial department
1238853,wire solutions,Production QA
1238999,wire solutions,Commercial department
1239822,wire solutions,Production QA
1242183,wire solutions,Production QA
1245447,wire solutions,Commercial department
1246053,wire solutions,Commercial department
1248958,wire solutions,Production QA
1249868,wire solutions,Production QA
1250731,wire solutions,Commercial department
1251983,wire solutions,Marketing
1252228,wire solutions,Commercial department
1253766,wire solutions,Commercial department
1256114,wire solutions,Commercial department
1211912,Wiol graag werkplek verplaatst hebben in de zeldfde ruimte 1.K.29.3,Commercial department
1205182,Winzip verzoek,Production QA
1221504,Winword.exe foutmelding bij openen brief in dermamate,Overig
1238256,Winword.exe foutmelding bij openen brief in dermamate,Overig
1189018,Winlims: weer problemen met verbinding,Commercial department
1199184,"WINKELS_wire solutions scherm valt steeds, waarschijnlijke oorzaak bedarm",Commercial department
1253903,Winkels_wire solutions mevr. Woudenberg Kamer 133 Bed 1,Commercial department
1203063,Winkels_Walloutlet productiekamer is defect.,Commercial department
1213847,WINKELS_Netwerkaansluiting aanleggen bij kassa 1 in de Stanza.,Commercial department
1236016,Winkels__wire solutions: zwart scherm Kamer 3 stoel 1,Commercial department
1231159,WINKELS__wire solutions: scherm gaat niet meer aan  	3Zuid 359 b4,Commercial department
1234783,"Winkels__PDMS ""arm"" bed 8 blijft lam",Commercial department
1209053,Winkels__ wire solutions scherm,Commercial department
1209938,winkels__ wire solutions is niet verbonden,Commercial department
1229980,WINKELS_ wire solutions is niet verbonden (ook na reset),Commercial department
1214673,WINKELS_ lamme bed arm,Commercial department
1224639,Winkels zou gisteren of vandaag komen,Commercial department
1215276,WINKELS wire solutions is niet verbonden,Commercial department
1213747,WINKELS Netwerkkabel PDMS (Penta) PC bed 5 defect,Commercial department
1208897,Winkels __wire solutions 3 Zuid Amsterdam/bed arm afstellen,Commercial department
1191053,WinIBW dv RV,Commercial department
1190059,WinIBW applicatie blijft hangen bij opstarten,Commercial department
1218607,Windows-venster staat te veel naar links,Production A
1203445,Windows: kan niet inloggen,Onbekend
1236148,Windows ww verlopen,Commercial department
1246707,Windows Ww vergeten. Hunite doet het niet. Kan niet ingeloggen,Commercial department
1250964,"Windows ww vergeten, initieel ww afgeven",Commercial department
1225442,Windows ww vergeten,Commercial department
1237317,Windows ww vergeten,Commercial department
1251550,Windows ww vergeten,Overig
1214126,Windows ww reset svp,Commercial department
1222011,Windows ww reset,Overig
1223993,Windows ww reset,Production A
1224589,Windows ww reset,Production QA
1238203,Windows ww reset,Commercial department
1250183,"Windows ww gereset sindsdien aantal problemen, graag ww reset",Production QA
1189303,Windows ww gereset,Commercial department
1198497,Windows ww,Overig
1252061,Windows ww,Production A
1197965,Windows wijziging,Facility management
1190731,windows vroeg om netnummer,Commercial department
1233356,Windows update: How do you want to install update's uitschakelen,Marketing
1243413,Windows the username or password is incorrect,Overig
1194934,Windows Standaardprinter,Commercial department
1238936,"Windows Security: ""An error has occured while changing your password""",Production A
1209193,Windows meldt uit zichzelf af terug naar ctrl alt del,Production A
1230144,Windows loopt vaak vast / WS is langzaam,Commercial department
1207661,Windows login blijft hangen in launching,Production QA
1256249,"Windows laptop is uitgeleend aan Ilse Drijfhout via JControlekamere ten huissen, zij werkt voor martin Leijen",Commercial department
1251067,Windows kan niet inloggen,Production A
1238236,Windows inlogprobleem error 70,Production A
1233953,Windows inlogprobleem 1e x aanmelden,Commercial department
1212412,Windows inlogprobleem -> lijkt toetsenbord storing svp langsgaan met nieuw toetsenbord,Production A
1190625,Windows inlogprobleem,Commercial department
1207308,Windows inlogprobleem,Production A
1208400,Windows inlogprobleem,Commercial department
1209332,Windows inlogprobleem,Production QA
1227787,Windows inlogprobleem,Production A
1237927,Windows inlogprobleem,Production A
1241896,Windows inlogprobleem,Marketing
1238254,Windows inloggen: errorcode 70 gelocked met kiosk account,Production A
1201404,Windows inloggen gaat niet goed,Production A
1243616,Windows inloggen gaat niet goed,Commercial department
1256236,Windows inloggen gaat niet goed,Production QA
1198793,Windows inloggen,Marketing
1224016,Windows inloggen,Production QA
1233632,Windows inloggen,Production QA
1234199,Windows inloggen,Commercial department
1239325,Windows inloggen,Production A
1220973,"windows inlog probleem, your not autorished to use this published application",Production A
1240212,Windows heeft opeen geen icoonen,Overig
1227244,Windows cannot load your profile + PC is traag,Commercial department
1231995,windows cannot connect to the domain.,Production QA
1238572,"Windows cannot connect to the domain system could not log you on,",Overig
1204245,Windows cannot connect to the domain either because the domain controller is down,Commercial department
1198684,Windows cannot connect to the domain *spoed*,Production A
1190502,Windows cannot connect to the domain,Commercial department
1190666,Windows cannot connect to the domain,Production A
1196947,Windows cannot connect to the domain,Production QA
1198664,Windows cannot connect to the domain,Production A
1198691,Windows cannot connect to the domain,Production A
1198696,Windows cannot connect to the domain,Production A
1207512,Windows cannot connect to the domain,Production A
1207529,Windows cannot connect to the domain,Production A
1211559,Windows cannot connect to the domain,Commercial department
1213759,Windows cannot connect to the domain,Overig
1223674,Windows cannot connect to the domain,Production A
1223703,Windows cannot connect to the domain,Commercial department
1223722,Windows cannot connect to the domain,Marketing
1230486,Windows cannot connect to the domain,Commercial department
1230492,Windows cannot connect to the domain,Marketing
1230500,Windows cannot connect to the domain,Commercial department
1243996,Windows cannot connect to the domain,Commercial department
1196935,Windows cannot connect to domain,Commercial department
1201044,Windows cannot connect to domain,Production QA
1248362,Windows cannot connect to domain,HR advies
1210787,Windows can not connect to the domain,Commercial department
1207679,Windows blijft weer hangen in inloggen,Production A
1221422,Windows blControlekamerkeert zip file uitpakken,Commercial department
1249347,Windows account ww reset,Commercial department
1188924,"Windows 7 Thin Clients kunnen zelf niet de resolutie aanpassen ""via start accessoires""",Marketing
1221908,Windows - inlogprobleem powerfusemngr.exe kan niet worden uitgevoerd,Production A
1248273,Windows,Commercial department
1249548,Window cannot . Laad tijdelijk profiel,Production QA
1214247,"William, svp terugbellen",Commercial department
1234061,"William, svp terugbellen",Overig
1246560,"William, svp terugbellen",Commercial department
1243133,William terugbellen svp,Commercial department
1239160,"Willen vaste tekst voicemail aangepast hebben, is dit mogelijk?",Production QA
1213714,"Willen jullie voor CRM-ERP agenda mediae psychologie, locatie Amsterdam voor de volgende psychologische medewerkers H en psychologen H de volgende code a",Production A
1209221,Willen jullie iets wijzigen in de subagenda van de Orthopedie?,Production A
1200084,"Willen jullie aan de SEH agenda van 18-03-2013 toevoegen: consult mevr. Exel, 25-12-1992  door Rahzi, psychiater i.o.",Production A
1245280,Willen inloggen met pasje. You do not have suffient access to assign a smartcard,Commercial department
1223398,Willen andere meldtekst maken voor wanneer de handset uit staat.,Production QA
1250499,Willemijn: Inlog's inscannen gaat niet goed.  Helft van gescande documenten komt maar over in CRM-ERP,Production A
1234834,"Wil, in een word-bestand, wijzigingen in een gelinkt pdf-bestand aanpassen.",Production A
1234988,Wil ww resetten,Commercial department
1252830,Wil WS-handtekening in outlook webmail gebruiken,Production QA
1235273,Wil Word-document omzetten naar pdf,Commercial department
1209200,Wil word-bestand omgezet hebben naar pdf,Commercial department
1224523,Wil weten welke astraia-z01 services draaien,Marketing
1191824,Wil weten waar DECT nummer vna is,Facility management
1246720,Wil weten of wij kunnen zien welk apparaat aan inbouwdoos 12-1C aansluitng 04 zit,Commercial department
1246894,Wil weten of nog iemand hierin aan het werk is,Marketing
1238642,Wil weten of het mogelijk is een aantal mensen beperkt toegang te geven tot een gemeenGeitelijke postbus.,Commercial department
1200979,Wil weten of er een fax aanwezig is in deze mf.,Commercial department
1232735,Wil weten hoe zij apparatuur aan kan vragen.,Production A
1250725,Wil weten hoe de computer te locken,Production QA
1237932,Wil voorwaarden gebruiker videoconferentie opstellen,Commercial department
1229011,Wil voor 2 vakantiewerkers autorisatie aanvragen met beperkte rechten voor CRM-ERP,Commercial department
1242787,Wil voicemail van toestelnr. 5800 overgezet hebben naar toestelnr. 3199,Commercial department
1232985,Wil voicemail bericht veranderen,Overig
1211948,Wil voice mail veranderen,Commercial department
1206484,Wil videoconferencing opzetten met externe partij,Production QA
1251004,Wil video via WeTransfer. .mov bestand downloaden. Gaat niet goed.,Production A
1239858,Wil token omgezet hebben naar andere gebruiker,Production A
1217104,Wil toegang tot pdf-factory,Commercial department
1256079,Wil toegang tot mailbox Obesitaspoli,Overig
1233910,wil toegang tot andere printer,Commercial department
1243060,Wil toegang regelen op J:\ schijf voor Ether Stevens,Marketing
1241038,Wil toegang hebben tot aplicatie,Overig
1223541,Wil tijd veranderd hebben van AM/PM naar 24 uur notatie,Commercial department
1209235,"Wil thuis, op android-tablet, mail bekijken",Facility management
1203341,Wil thuis mail bekijken,Production A
1228313,Wil thuis mail bekijken,Facility management
1241821,Wil telefoon kwijt en vraagt naar kosten van telefoon,Production A
1227655,wil telefoon doorschakelen.,Production QA
1208096,wil tabel in Word omlijnt hebben,Production A
1255007,Wil status melding weten,Production QA
1218064,"Wil status aanvraag over 1 iPad die zo'n 1,5 maand geleden is aangevraagd",Overig
1211776,"Wil software installeren, maar programma heeft java nodig",Commercial department
1207839,Wil ruimte U105 weer gepatched hebben,Overig
1228229,Wil programma geïnstalleerd hebben.,Facility management
1216358,Wil procesprinter toegevoegd hebben.,Commercial department
1246659,Wil printopdracht verwijderd hebben.,Commercial department
1218503,"Wil printen, maar gaat niet goed.",Production QA
1212432,Wil printen op A3,Production QA
1236512,Wil printen maar krijgt dialoogscherm om te printen naar OneNote,Production A
1215138,Wil ppt-bestand beveiligd hebben met dialoogvenster waarin ze kan kiezen voor wijzigen en alleen-lezen,Commercial department
1222443,"Wil PC verplaatst hebben in dezeflde ruimte, maar snoeren zitten vast",Production A
1245106,Wil pc verplaatst hebbeb maar tegelijkertijd op die plek een nieuwe tc geplaatst hebben.,Production A
1221837,Wil pasje koppelen,Production A
1256250,Wil pasje koppelen,Overig
1240166,Wil pasje al activeren voordat zij volgende maand stage komt lopen.,Onbekend
1241138,Wil pas geactiverd hebben voor kledinguitgifte,Commercial department
1254024,"Wil pagina 9-10 van een PDF naar PDF printen, gaat niet goed",Commercial department
1227342,Wil op WS Private inloggen,Overig
1225873,"Wil op labelprinter printen, ziet hem niet in lijst staan",Commercial department
1234482,Wil op J-schijf map aanmaken,Marketing
1252489,Wil op de J:\schijf J:\StralingsCommissie\Commissie Stralingshygiëne Niet Ioniseriende Straling andere gebruikers toegang geven.,Marketing
1243082,Wil op de J:\5West mapje maken waar maar 3 mensen wijzig rechten moeten hebben.,Commercial department
1231041,"Wil nieuwe, grotere telefoon",Facility management
1235259,Wil nieuwe handset aanvragen,Facility management
1200145,Wil niet meer aan.,Production QA
1190656,wil niet inloggen,Commercial department
1217129,Wil Natschool Roc van Noord-Holland gebruiken op werkplek,Production A
1230452,Wil microfoon van headset (Netcom) harder gezet hebben,Production QA
1255388,Wil met laptop internet opvia WS Public,HR advies
1214552,Wil mappen aanmaken op de ControlekamerData schijf,Commercial department
1214560,Wil mappen aanmaken op de ControlekamerData schijf,Commercial department
1245442,Wil mail thuis bekijken,Production QA
1210229,Wil mail ingesteld hebben op haar Samsung telefoon,Facility management
1196163,Wil lid worden van de PV maar moet daarvoor een inlog account hebben,Overig
1206033,Wil laptop reserveren,Commercial department
1255776,Wil laptop op televisie aansluiten voor een presentatie,Commercial department
1223295,Wil kortkiezen veranderd hebben,Commercial department
1217148,"Wil knop ""scannen naar CRM-ERP (gynaecologie"" op multifunctional aangemaakt hebben",Commercial department
1189456,Wil je werkopdracht 2007050.1 open zetten.,Commercial department
1195248,Wil je voor mij het volgende inventarisnummer 11832 overzetten van Vastgoed naar domeintechnologie?,Commercial department
1245500,Wil iPad aanvragen. Vraagt welke formulieren ingevuld moeten worden.,Commercial department
1224259,Wil IP adres evocs-z01 weten,Production QA
1240569,Wil inloggen op WS.nl,Production A
1244996,Wil ING Insidebusiness in het nederlands hebben.,Commercial department
1209137,Wil info over EPD,Onbekend
1253728,Wil in patchkast.,Onbekend
1214784,Wil in landscape printen,Production A
1189375,wil hier graag IE 8.0 subscribed,Commercial department
1250030,Wil het plusminus-symbool gebruiken,Overig
1214906,Wil het beeld projecteren op groot scherm. dit werkt niet.,Commercial department
1195601,Wil het account van truikes gereset hebben,Facility management
1223563,Wil handtekening veranderd hebben,Commercial department
1250137,Wil handset doorschakelen,Overig
1255315,Wil haar pasje koppelen.,Commercial department
1205638,Wil haar handtekening wijzigen.,Production QA
1213873,Wil haar gegevens gewijzigd hebben,Production A
1239888,Wil haar gegeven in de Outlook adresboek aangevuld hebben.,Production QA
1245375,Wil groepsnummer doorschakeln naar handset,Production A
1235077,Wil groepsnummer doorschakelen.,Production A
1205620,Wil graag zijn mailbox vergroot hebben.,Commercial department
1246249,Wil graag WS-PRD nieuwe KA op deze huidige KA PC,Production A
1245842,Wil graag WS Private aanvragen,Production A
1252477,Wil graag Word en Excel in de snelstart balk,Production QA
1223341,Wil graag weten wie ze gebruikt en wie.,Onbekend
1240379,Wil graag weten wanneer de problemen opgelost zijn.,HR advies
1253964,Wil graag weten waar zijn download is gebleven,Production A
1240960,Wil graag weten of telewerken werkt op Apple producten,Production QA
1226576,Wil graag weten of Poli Psychiatrie doorgeschakeld kan worden naar de Marketing 3110 => 3150.,Commercial department
1229125,Wil graag weten of er al een draadloze headset voor de afdeling besteld is.,Overig
1227433,Wil graag weten of de kassa van Pipenzo Amsterdam en Amsterdam op 1 en hetzelfde systeem zitten.,Commercial department
1225793,Wil graag weten hoe door te schakelen,Commercial department
1241464,Wil graag webmail bekijken en info van ziekenhuis ivm langdurige ziekte,Production A
1208006,Wil graag wat meer weten over BalanceLab.,Production A
1220771,Wil graag voor mgoossen dat het geluid werkt.,Marketing
1235004,Wil graag verlenging van gehele werkplek (tc + monitor),Overig
1218823,Wil graag vandaag presentatie testen in Noord-Hollandzaal,Commercial department
1245388,Wil graag uitleg hoe om te gaan met het opslaan van bestanden,Commercial department
1195645,Wil graag toegang willen hebben tot de J:\ schijf,Production A
1223358,Wil graag toegang tot PP50052,Commercial department
1228337,Wil graag toegang tot Mailbox ocon opname,Facility management
1207418,Wil graag toegang tot een applicatie.,Production A
1240577,Wil graag toegang tot de productiedatabase.,Onbekend
1218645,Wil graag telefoontoestel hebbenm tbv lControlekameraal gastvrijheidstraining in Amsterdam gedurende 1 jaar,HR advies
1231828,wil graag stickers uitprinten,Commercial department
1226955,Wil graag status chirurgen weten die wel/geen recht hebben op J:\Plastiische Chirurgie,Production A
1250424,Wil graag speakers lenen voor een vergadering (is op een TC),Commercial department
1225784,Wil graag SpaceLabs,Production A
1199651,wil graag SAP,Overig
1210034,Wil graag resolutie wijzigen.,Production A
1254223,wil graag rehcten op Prezi,Production A
1244938,Wil graag pasnrs van collega's opvragen.,Production QA
1238932,Wil graag pasje koppelen.,Production A
1234421,Wil graag op 12 september ondersteuning bij een presentatie,Commercial department
1239131,Wil graag ongelezen mailtjes laten zien,Commercial department
1249265,Wil graag ondersteuning bij testen presentatie 08-10-2013 09:00 uur in A. Schweitzerzaal.,Commercial department
1214919,Wil graag nieuwe postbus aanvraagen voor media Amsterdam,Production A
1209310,Wil graag nieuwe bedrijfsfil op usb-stick en dvd gezet hebben.,Commercial department
1246600,Wil graag nieuw pasje activeren.,Commercial department
1242138,Wil graag MobileInlog hebben,Production A
1253431,Wil graag mailboxen PlasChirurgie-SMT en TBA samenvoegen tot 1,Production A
1225542,Wil graag Mailbox vergroot hebben.,Production A
1207473,wil graag mailbox APS in outlook balk,Commercial department
1222456,Wil graag Laptop key weten om aflegbakjes te openen,Commercial department
1206407,Wil graag investeringsformulier gemaild hebben,Facility management
1254740,Wil graag inloggen nieuwe account,Commercial department
1225031,Wil graag inloggen maar heeft geen account,Marketing
1223575,Wil graag informatie over aanschaffing nieuwe telefonieapparatuur (inventariseren),Production QA
1246603,Wil graag info over hoe werkwijzes te digitaliseren,Marketing
1250285,Wil graag in contact treden met manager,Onbekend
1245190,Wil graag headset voor handset,Commercial department
1224201,Wil graag haar accountinformatie hebben en een token aanvragen,Production A
1203752,Wil graag grotere postbus,Commercial department
1220580,Wil graag Google Chrome,Commercial department
1227540,wil graag goedkeurings stikkers op de penta's,Commercial department
1203688,Wil graag geluid tbv presentaties,Commercial department
1220795,Wil graag geluid op zijn computer voor cursus materiaal,Production A
1230129,Wil graag geluid op TC voor e-learning,Production QA
1207111,Wil graag geluid op haar TC hebben,Commercial department
1213676,Wil graag geluid op haar PC hebben,Commercial department
1194070,Wil graag geluid op de computer hebben voor presentaties.,Overig
1233727,Wil graag gebruik maken van MS Access. Voor bewerken Oncologische database,Production A
1199642,Wil graag foto's van cdrom geplaatst hebben op J-schijf,Production QA
1253755,Wil graag e-mailadres F. Wijngaard,Onbekend
1207978,Wil graag een printer verplaatst hebben.,Commercial department
1194516,Wil graag een plaatje als pdf ingescand gebruiken voor een ppt,Production QA
1224740,wil graag een pagina vertalen.,Production QA
1190055,Wil graag een nieuw toetsenbord. Is al eerder over gebeld.,Commercial department
1202044,Wil graag een naam toegevoegd hebben in GLIMS,Marketing
1249473,Wil graag een lijst met voorletters van gebruikers (aan de hand van inlognamen A0 en CCU),Overig
1223321,Wil graag een leidinggevende van de ICT spreken,Onbekend
1245653,Wil graag een headset voor een handset bestellen,Commercial department
1224373,Wil graag een grotere muis uitzoeken voor Ergotherapie,Commercial department
1195937,Wil graag een faxnr. toegevoegd hebben,Facility management
1232687,Wil graag een extra algemeen account om een extra werkplek te kunnen gebruiken,Production A
1239130,Wil graag een document inscannen en in Word bewerken.,Commercial department
1248525,Wil graag een centraal account aanvragen voor een vaste werkplek,Facility management
1210758,Wil graag een andere monitor,Production A
1235876,Wil graag een afspraak met FB ivm vaak BrainRT problemen,Production A
1253301,Wil graag een account,Commercial department
1199766,Wil graag dv worden met Patrick Cales,Facility management
1236945,Wil graag Dv met Mark C.,Production A
1255171,Wil graag de MedSpace van OCON app,Production A
1244511,Wil graag dat het toetsenbord vervangen wordt.,Production A
1208135,Wil graag dat er twee mappen samengevoegd worden op de J schijf van de CSA.,Overig
1244672,Wil graag dat een stagiair toegang krijgt tot Access,Commercial department
1196205,Wil graag CRM-ERP opleiding,Production A
1243922,Wil graag code deur bib. Amsterdam weten,Marketing
1233354,Wil graag Chrome als webbrowser,Commercial department
1227619,Wil graag adres van webmail WS weten,Commercial department
1233259,Wil graag adres etiketten maken binnen Excel.,Commercial department
1251534,Wil graag 4 accu's voor handsets,Production A
1202159,"Wil graag 2 printers zichbaar hebben in de ""gewone werkomgeving"" zodat users kunnen printen vanuit oa CS/CRM-ERP",Marketing
1231400,Wil graag 2 losse blaadjes op een enkel blad (dubbelzijdig) gekopieërd hebben,Production A
1201177,Wil graafg toegang tot WS-private,HR advies
1238050,wil gmail inzien in WS Outlook,Production QA
1201491,Wil gebruik maken van labelprinter (gelijk hovermuur},Commercial department
1189768,Wil gebruik maken van BrainRT.,Production A
1217842,wil geanonimiseerde accounts voor externe gebruikers,Overig
1199576,Wil G2 logfile van machine hebben.,Production QA
1189503,Wil foto uit pdf-bestand opgeslagen hebben als jpg-bestand,Marketing
1241241,Wil formulier op WS-plaza geplaatst hebben,Production A
1246261,Wil filmpje met extensie TOD omgezet hebben,Commercial department
1235791,"Wil faxen naar buitenland, gaat niet goed",Marketing
1191748,Wil extra pc plaatsen in ruimte 4.G.21.3,Commercial department
1238942,Wil externe email in een DL groep plaatsen. Ziet haar contactpersonen niet.,Commercial department
1229002,Wil Excel bestand samenvoegen met Word,Commercial department
1254878,Wil Evernote installeren,Commercial department
1236204,Wil even doorgeven dat alles erg traag is. T-Blox opstarten bv duurt erg lang.,Facility management
1239445,Wil e-mails namen mailbox sturen,Production A
1231449,Wil e-mails doorsturen van r.Schipper@WS.nl naar re.Schipper@WS.nl,Marketing
1217833,Wil emailadres pip-Amsterdam veranderd hebben in pipenzo-Amsterdam@WS.nl,HR advies
1223000,Wil e-mail adressen doorsturen,Commercial department
1241537,Wil een xls vanuit Outlook in kleur uitprinten,Production A
1220914,Wil een pst openen in Outlook,Commercial department
1235331,Wil een printer toegevoegd hebben,Marketing
1235267,Wil een PDF naar JPG converteren,Commercial department
1239963,Wil een normale monitor vervangen hebben voor een breedbeeld tbv het gebruik van het EPD.,Production A
1225547,Wil een nieuw toetsenbord. Aantal toetsen doen het niet.,Commercial department
1241388,Wil een mapje van de X:\ schijf kopieren naar de J:\ schijf,Production A
1233625,Wil een mapje maken op de afdelingsschijf,Production A
1254883,"Wil een film monteren, kan iemand dat? (werkgerelateerd)",Overig
1213843,Wil een e-mail bericht laten intrekken,Overig
1235879,Wil een deskjet printer aansluiten op nieuw apparaat. Mist een verloop kabeltje om aan te kunnen sluiten.,Marketing
1218659,Wil een commisie toegang geven tot 1 map op haar afdelingsschijf,Commercial department
1191110,Wil een bon aanmaken via ultimo Web. Weet haar inlognaam niet.,Facility management
1238045,Wil een bestand zoeken in folders.,Production A
1241841,Wil een applicatie voor Robert Heinen aanvragen.,Facility management
1228297,Wil een aparte melding ingesprControlekameren hebben ivm afwezigheid vanaf 15.00 uur,Production QA
1213626,Wil doorverbonden worden met Leon Tichelaar,Onbekend
1190429,Wil doorschakelen naar handset,Production A
1196954,Wil de WS handtekening aangepast hebben,Production A
1199568,Wil de Samsung 500T1c in het ziekenhuis gaan gebruiken,Production A
1236840,"Wil de beschikking hebben over programma ""flow""",Production A
1251882,Wil de beschikking hebben over Irfanview ipv snagit,Production A
1248401,Wil de beschikking hebben over applicatie Muse op een TC,Production QA
1225496,Wil de agenda van andere gebruiker openen.,Production A
1235893,Wil CRM-ERP-document als pdf hebben,Production A
1217899,Wil contactpersonen delen,Production A
1221078,Wil compatibiliteitsweergave werrgegegven hebben,Production QA
1196210,wil collega's toegang geven tot groeps postbus,Production A
1251801,"Wil clnode-A08 overnemen, maar krijgt geen toegang",Onbekend
1252820,Wil buisspanning ed weten van Calscan,Commercial department
1236446,Wil bredere schermen op 2 werkplekken,Production QA
1247791,Wil bestanden van J-schijf gekopieerd hebben naar USB-stick.,Commercial department
1238091,"Wil bestand van 16mb e-mailen, komt niet over ivm grootte e-mail",HR advies
1225911,Wil AutoCAD afdelingspad invullen,Commercial department
1191038,Wil authorisatieformulier hebben.,Overig
1191033,Wil authorisatie voor collega aanvragen,Production A
1245413,Wil alle mappen in Outlook Postvak kunnen zien,Production A
1219893,Wil alle bijlagen van een e-mail in 1 keer afdrukken,Commercial department
1246590,Wil alle Agenda items overzetten van Redactie H naar Redactie Radiologie.,Production A
1244314,Wil algemen postbus aangemaakt hebben,Commercial department
1200948,Wil afdruktaak ge-annuleerd hebben.,Marketing
1231447,Wil afdrukken vanuit Word maar krijgt een OneNote foutmelding,Production A
1201456,Wil afdrukken op logo-papier,Production A
1242562,Wil account opgeheven zien.,Commercial department
1228640,Wil account hebben voor Hunite,Commercial department
1189474,Wil 2 werkstations bestellen. Vraagje over investeringsaanvraag.,Facility management
1244047,Wil 130 blz uit boek naar pdf hebben omgezet,Production A
1203170,Wil 1 pagina printen op logo-papier,Production A
1236407,Wil  weten of zij toegang heeft tot SPSS,Production QA
1224955,wijzigingen Word,HR advies
1243981,wijziging verpleegadres doorvoeren lukt niet,Onbekend
1243994,wijziging verpleegadres doorvoeren lukt niet,Onbekend
1200081,Wijziging token,Commercial department
1240559,wijziging telefoonlijst,Production A
1254228,wijziging in infectieregistratiesysteem,Overig
1218537,wijziging in het voorgeprogammeerder telefoontoestel,Commercial department
1243493,Wijziging in een query maken.,Commercial department
1231537,wijziging aanvragen in de vragenlijst IC checklist in het IC- PDMS,Production QA
1205377,Wijzigen ww gaat niet goed. Krijgt error,Marketing
1200435,wijzigen wachtwoord,Production A
1210358,wijzigen wachtwoord,Marketing
1244360,wijzigen van fax nr,Production A
1248961,Wijzigen scherm resolutie,Production A
1198471,Wijzigen emailadres.,Facility management
1238340,wijzig schermresolutie?,Overig
1214641,Wij zijn een maand geleden begonnen met het nieuwe werkblad baliemedewerker. Ik zou graag betreft order overdracht aan secretariaat hier een aantal pu,Production A
1234444,wij willen graag het ph-metrie apparaat verplaatsen van ruimtenr 0.M.25.1 naar 0.M 26.5,Commercial department
1251428,Wij hebben nog een toetsenbord over. Graag deze ophalen,Production A
1204767,WiFi WSpublic,Marketing
1199144,Wifi verbinding met WS-Public lukt niet,Commercial department
1206599,WIFI Public problemen,Production A
1197919,Wifi op iPad WS Public lukt niet,Overig
1194802,wifi Kamer 55 isolatie mrsa positief,Commercial department
1199140,WIFI geen verbinding met public meer..,Commercial department
1205172,WIFI  internet  problemen met Public,Overig
1212324,Wie vervangt toner van MF?,Facility management
1244392,Wie stuurt testprints  naar de PP50024?,Marketing
1188525,Wie regelt de aanvraag voor een nieuwe UZI-pas?,Production A
1229906,Wie kan er bij de postbus pto@WS.nl,Commercial department
1190069,wie is er aan het scannen voor EPD,Production A
1256024,Wie heeft er allemaal recht op de postvak IDkaartenautorisatie?,Commercial department
1215656,wie gaat erover polsbandjes,Commercial department
1197313,Wie coördineert de stroomtesten?,Facility management
1238660,Wie behheet de camera's voor de beveiliging?,Marketing
1255054,wie beheer WS.nl,Production A
1207993,WG terugbellen svp inzake leverancier trackballmuis,Marketing
1240072,WG terugbellen svp,Overig
1255354,"WeTransfer__gebkControlekamerkeerd nieuwe KA, kan er geen uitzondering worden gemaakt?",Production A
1194003,WeTransfer werkt niet meer,HR advies
1192928,"Wetransfer opent niet met IE 7, wel met IE 8",Commercial department
1241221,wetransfer,Overig
1247998,wetenschapsdag microfoon beschikbaar?,Commercial department
